year	ethnic_group	crude_death_rate	crude_birth_rate	crude_natural_inc_rate
1971	Indians	5.9	21.1	15.2
1972	Indians	6.1	21.1	15
1973	Indians	6.6	19	12.5
1974	Indians	6	17.7	11.7
1975	Indians	6.2	15.6	9.4
1976	Indians	6.2	15.4	9.2
1977	Indians	5.9	15.2	9.3
1978	Indians	6.5	16.2	9.7
1979	Indians	6.8	17.5	10.7
1980	Indians	5.8	19.8	14
1981	Indians	5.8	19.8	14
1982	Indians	6	20	14
1983	Indians	5.7	19.3	13.6
1984	Indians	5.5	19.4	13.9
1985	Indians	5.8	19.2	13.4
1986	Indians	5.1	18.4	13.3
1987	Indians	5.2	19.2	14
1988	Indians	5.5	20.3	14.8
1989	Indians	5.5	20	14.8
1990	Indians	4.9	20.2	14.4
1991	Indians	4.8	18.9	14
1992	Indians	4.9	19.3	14.4
1993	Indians	4.8	19	14.2
1994	Indians	4.8	17.7	12.9
1995	Indians	4.3	16.6	12.2
1996	Indians	4.5	16.3	11.8
1997	Indians	4	15.7	11.7
1998	Indians	4.3	15.3	11
1999	Indians	4	13.9	9.9
2000	Indians	4	14.1	10.2
2001	Indians	3.8	13.3	9.5
2002	Indians	3.6	13.2	9.6
2003	Indians	3.8	12.7	8.9
2004	Indians	3.6	12.1	8.5
2005	Indians	3.5	12	8.6
2006	Indians	3.6	12	8.4
2007	Indians	3.5	11.9	8.4
2008	Indians	3.4	11.3	8
2009	Indians	3.3	11.2	7.9
2010	Indians	3.1	11.3	8.2
2011	Indians	3.3	10.8	7.5
2012	Indians	3.2	11.2	8
2013	Indians	3.3	11	7.6
2014	Indians	3.5	10.8	7.3
2015	Indians	3.6	10.9	7.3
2016	Indians	3.8	9.9	6
1971	Chinese	5.5	22.1	16.6
1972	Chinese	5.4	23	17.6
1973	Chinese	5.5	22.3	16.8
1974	Chinese	5.4	19.4	14
1975	Chinese	5.1	17.7	12.5
1976	Chinese	5.2	19.1	13.9
1977	Chinese	5.3	16.5	11.2
1978	Chinese	5.2	16.7	11.5
1979	Chinese	5.3	16.9	11.6
1980	Chinese	4.9	16.6	11.7
1981	Chinese	5	16.5	11.5
1982	Chinese	4.9	16.2	11.3
1983	Chinese	5.1	14.8	9.7
1984	Chinese	4.8	14.8	10
1985	Chinese	4.9	14.9	10
1986	Chinese	4.6	12.7	8.1
1987	Chinese	4.7	14.8	10.1
1988	Chinese	4.9	18.6	13.7
1989	Chinese	4.9	15.5	13.7
1990	Chinese	4.7	16.4	10.5
1991	Chinese	4.6	15.2	10.6
1992	Chinese	4.7	15	10.3
1993	Chinese	4.6	15.1	10.4
1994	Chinese	4.7	14.7	10
1995	Chinese	4.9	14.2	9.3
1996	Chinese	4.7	13.9	9.1
1997	Chinese	4.6	13.3	8.6
1998	Chinese	4.6	11.6	6.9
1999	Chinese	4.5	11.5	7
2000	Chinese	4.6	12.6	8
2001	Chinese	4.4	10.5	6.1
2002	Chinese	4.5	10.2	5.7
2003	Chinese	4.6	9.4	4.8
2004	Chinese	4.5	9.2	4.6
2005	Chinese	4.5	9.1	4.6
2006	Chinese	4.5	9.2	4.7
2007	Chinese	4.6	9.3	4.7
2008	Chinese	4.6	9.2	4.5
2009	Chinese	4.5	8.8	4.4
2010	Chinese	4.6	8.2	3.6
2011	Chinese	4.7	8.6	4
2012	Chinese	4.8	9.2	4.4
2013	Chinese	4.9	8.2	3.3
2014	Chinese	4.9	8.8	3.9
2015	Chinese	5	8.6	3.6
2016	Chinese	5	8.2	3.3
1971	Malays	4.6	22.9	18.3
1972	Malays	4.6	23.6	19
1973	Malays	4.6	21.2	16.6
1974	Malays	4.3	18.7	14.4
1975	Malays	4.1	16.9	12.8
1976	Malays	4.1	16.2	12.1
1977	Malays	4.3	15.7	11.5
1978	Malays	4.1	16.1	11.9
1979	Malays	4.3	16.6	12.2
1980	Malays	4.2	20.2	16
1981	Malays	4.3	21.3	17
1982	Malays	4.4	21.5	17.1
1983	Malays	4.4	21.8	17.4
1984	Malays	4.5	22.6	18.1
1985	Malays	4.4	22.8	18.4
1986	Malays	4.4	22.6	18.2
1987	Malays	4.3	23.7	19.4
1988	Malays	4.7	24.9	20.2
1989	Malays	4.6	25.9	20.2
1990	Malays	4.5	25.8	21.2
1991	Malays	4.4	25.1	20.6
1992	Malays	4.5	24.3	19.8
1993	Malays	4.4	23.9	19.5
1994	Malays	4.7	22.5	17.8
1995	Malays	4.6	21.3	16.7
1996	Malays	4.7	20.7	16.1
1997	Malays	4.4	19.6	15.2
1998	Malays	4.5	18.9	14.5
1999	Malays	4.5	17.6	13.1
2000	Malays	4.6	18.1	13.5
2001	Malays	4.3	16.8	12.4
2002	Malays	4.5	15.3	10.9
2003	Malays	4.5	14.1	9.6
2004	Malays	4.3	13.7	9.3
2005	Malays	4.6	13.4	8.8
2006	Malays	4.4	13.2	8.7
2007	Malays	4.7	12.6	7.9
2008	Malays	4.6	12.6	8.1
2009	Malays	4.6	12	7.4
2010	Malays	4.6	11.2	6.6
2011	Malays	4.8	11.1	6.3
2012	Malays	4.6	11.5	6.9
2013	Malays	4.8	11.7	6.9
2014	Malays	5	12.4	7.4
2015	Malays	5.1	13.3	8.1
2016	Malays	5.1	13.5	8.4
1971	Others	5.6	29.2	23.6
1972	Others	6	29.1	23.1
1973	Others	5.7	29.2	23.5
1974	Others	4.8	30.8	25.9
1975	Others	5.4	29.8	24.3
1976	Others	4.9	29.6	24.7
1977	Others	5	27.2	22.2
1978	Others	4.7	26.1	21.4
1979	Others	5	28.3	23.2
1980	Others	6.9	42.1	35.2
1981	Others	7.3	43.9	36.6
1982	Others	6.6	44.1	37.5
1983	Others	6.5	40.5	34
1984	Others	5.9	41.3	35.4
1985	Others	5	41.3	36.3
1986	Others	5.7	37.9	32.2
1987	Others	6.3	39.2	32.9
1988	Others	5.6	41.4	35.8
1989	Others	6.9	39.9	35.8
1990	Others	5.7	38.2	33
1991	Others	4.8	35.9	31.1
1992	Others	4.7	34.3	29.7
1993	Others	4.6	32.5	27.8
1994	Others	4.5	31.8	27.2
1995	Others	5.6	31.3	25.7
1996	Others	4.1	30.1	26
1997	Others	3.5	28.6	25.1
1998	Others	4.3	27.5	23.2
1999	Others	4.1	27.7	23.6
2000	Others	3.6	27.9	24.3
2001	Others	3.2	26.1	22.9
2002	Others	3.9	25.2	21.3
2003	Others	3.1	24.8	21.7
2004	Others	2.6	24.8	22.2
2005	Others	2.7	22.6	19.8
2006	Others	2.4	23	20.5
2007	Others	2	22.9	20.9
2008	Others	1.8	23.1	21.3
2009	Others	1.5	21.5	20
2010	Others	1.7	20.8	19.1
2011	Others	1.6	20.4	18.8
2012	Others	1.4	21.5	20.1
2013	Others	1.6	19.6	18
2014	Others	1.9	19.3	17.5
2015	Others	2	17.9	15.9
2016	Others	2	16.9	14.9
